Matrix Size,Threads,Serial Time,Parallel Time,Speedup,Efficiency
5,1,0.13672399520874023,0.0,0.0,0.0
5,2,0.13672399520874023,0.0,0.0,0.0
5,4,0.13672399520874023,0.0,0.0,0.0
5,8,0.13672399520874023,0.0,0.0,0.0
5,10,0.13672399520874023,0.0,0.0,0.0
5,15,0.13672399520874023,0.0,0.0,0.0
5,20,0.13672399520874023,0.0,0.0,0.0
50,1,0.003497600555419922,0.0007851123809814453,4.454904342544792,4.454904342544792
50,2,0.003497600555419922,0.0,0.0,0.0
50,4,0.003497600555419922,0.0,0.0,0.0
50,8,0.003497600555419922,0.0,0.0,0.0
50,10,0.003497600555419922,0.0,0.0,0.0
50,15,0.003497600555419922,0.0,0.0,0.0
50,20,0.003497600555419922,0.0,0.0,0.0
100,1,0.0,0.0,0.0,0.0
100,2,0.0,0.0,0.0,0.0
100,4,0.0,0.0,0.0,0.0
100,8,0.0,0.0,0.0,0.0
100,10,0.0,0.0,0.0,0.0
100,15,0.0,0.0,0.0,0.0
100,20,0.0,0.0,0.0,0.0
250,1,0.005618572235107422,0.0,0.0,0.0
250,2,0.005618572235107422,0.0,0.0,0.0
250,4,0.005618572235107422,0.0,0.0,0.0
250,8,0.005618572235107422,0.0,0.0,0.0
250,10,0.005618572235107422,0.01011800765991211,0.5553042084923889,0.05553042084923889
250,15,0.005618572235107422,0.0,0.0,0.0
250,20,0.005618572235107422,0.0,0.0,0.0
500,1,0.00999903678894043,0.009900569915771484,1.0099455762654723,1.0099455762654723
500,2,0.00999903678894043,0.0,0.0,0.0
500,4,0.00999903678894043,0.0,0.0,0.0
500,8,0.00999903678894043,0.0011708736419677734,8.539808592954591,1.0674760741193239
500,10,0.00999903678894043,0.010057687759399414,0.9941685433210857,0.09941685433210858
500,15,0.00999903678894043,0.0,0.0,0.0
500,20,0.00999903678894043,0.0,0.0,0.0
750,1,0.009981632232666016,0.010000228881835938,0.9981403776463856,0.9981403776463856
750,2,0.009981632232666016,0.013281822204589844,0.7515258131686652,0.3757629065843326
750,4,0.009981632232666016,0.007421016693115234,1.3450491550472274,0.33626228876180686
750,8,0.009981632232666016,0.0010180473327636719,9.804683840749414,1.2255854800936767
750,10,0.009981632232666016,0.0,0.0,0.0
750,15,0.009981632232666016,0.011353254318237305,0.8791868791868792,0.05861245861245861
750,20,0.009981632232666016,0.008625268936157227,1.1572546092821405,0.057862730464107025
1000,1,0.019566774368286133,0.010511636734008789,1.8614393612919322,1.8614393612919322
1000,2,0.019566774368286133,0.012131929397583008,1.6128328584062102,0.8064164292031051
1000,4,0.019566774368286133,0.00989675521850586,1.9770898578655745,0.4942724644663936
1000,8,0.019566774368286133,0.009903907775878906,1.9756620125180548,0.24695775156475686
1000,10,0.019566774368286133,0.019716739654541016,0.9923940119470845,0.09923940119470845
1000,15,0.019566774368286133,0.01706528663635254,1.1465833996954329,0.07643889331302886
1000,20,0.019566774368286133,0.008170127868652344,2.394916540212443,0.11974582701062216
2000,1,0.0713951587677002,0.07131791114807129,1.0010831447302,1.0010831447302
2000,2,0.0713951587677002,0.07327437400817871,0.974353718255324,0.487176859127662
2000,4,0.0713951587677002,0.07926082611083984,0.9007622336393498,0.22519055840983745
2000,8,0.0713951587677002,0.07518768310546875,0.9495592338914257,0.11869490423642821
2000,10,0.0713951587677002,0.07945513725280762,0.8985593787414593,0.08985593787414593
2000,15,0.0713951587677002,0.07009482383728027,1.0185510835070868,0.06790340556713911
2000,20,0.0713951587677002,0.07932329177856445,0.9000528995569662,0.04500264497784831
5000,1,13.142725467681885,13.8595130443573,0.9482819075690943,0.9482819075690943
5000,2,13.142725467681885,13.873486518859863,0.9473267912730827,0.47366339563654136
5000,4,13.142725467681885,14.504712104797363,0.9061004019055982,0.22652510047639954
5000,8,13.142725467681885,17.879669427871704,0.735065350100621,0.09188316876257763
5000,10,13.142725467681885,13.503812313079834,0.9732603773640871,0.09732603773640872
5000,15,13.142725467681885,16.981192111968994,0.7739577634492686,0.051597184229951236
5000,20,13.142725467681885,16.20859694480896,0.8108490520452503,0.04054245260226251
