Matrix Size,Threads,Serial Time,Parallel Time,Speedup,Efficiency
5,1,0.011462926864624023,0.009012460708618164,1.271897568847385,1.271897568847385
5,2,0.011462926864624023,0.02299332618713379,0.49853278170072896,0.24926639085036448
5,4,0.011462926864624023,0.03743600845336914,0.3062005629927779,0.07655014074819448
5,8,0.011462926864624023,0.03240776062011719,0.35370931669707495,0.04421366458713437
5,10,0.011462926864624023,0.02820873260498047,0.40636093174211435,0.040636093174211435
5,15,0.011462926864624023,0.01494908332824707,0.7667979777037048,0.05111986518024699
5,20,0.011462926864624023,0.023395776748657227,0.48995709729030157,0.024497854864515077
50,1,0.004483699798583984,0.0038919448852539062,1.1520460671404067,1.1520460671404067
50,2,0.004483699798583984,0.006390810012817383,0.7015855250886028,0.3507927625443014
50,4,0.004483699798583984,0.0161130428314209,0.2782652442182206,0.06956631105455514
50,8,0.004483699798583984,0.0301363468170166,0.14878046850895166,0.018597558563618957
50,10,0.004483699798583984,0.028432369232177734,0.15769701645227832,0.015769701645227834
50,15,0.004483699798583984,0.05484199523925781,0.08175668625882516,0.005450445750588344
50,20,0.004483699798583984,0.06855010986328125,0.06540762381747357,0.0032703811908736786
100,1,0.012160301208496094,0.0064618587493896484,1.8818580968896432,1.8818580968896432
100,2,0.012160301208496094,0.008218765258789062,1.4795776282200046,0.7397888141100023
100,4,0.012160301208496094,0.018944978713989258,0.641874630321793,0.16046865758044826
100,8,0.012160301208496094,0.03290510177612305,0.3695567116379498,0.04619458895474372
100,10,0.012160301208496094,0.02819991111755371,0.43121771404898585,0.04312177140489858
100,15,0.012160301208496094,0.06531286239624023,0.1861853969088347,0.012412359793922313
100,20,0.012160301208496094,0.23265695571899414,0.052267086410188617,0.0026133543205094307
250,1,0.007066965103149414,0.008540868759155273,0.8274293051949865,0.8274293051949865
250,2,0.007066965103149414,0.010146141052246094,0.6965175298430304,0.3482587649215152
250,4,0.007066965103149414,0.019768953323364258,0.35747795988759845,0.08936948997189961
250,8,0.007066965103149414,0.03136920928955078,0.22528349496853434,0.028160436871066792
250,10,0.007066965103149414,0.02825760841369629,0.25009070122594307,0.025009070122594308
250,15,0.007066965103149414,0.046462059020996094,0.15210184938114493,0.01014012329207633
250,20,0.007066965103149414,0.06014728546142578,0.11749433160506746,0.0058747165802533734
500,1,0.0023212432861328125,0.005603790283203125,0.41422736555479917,0.41422736555479917
500,2,0.0023212432861328125,0.0042116641998291016,0.5511463345598642,0.2755731672799321
500,4,0.0023212432861328125,0.01050567626953125,0.2209513435003631,0.05523783587509078
500,8,0.0023212432861328125,0.0341796875,0.06791294642857143,0.008489118303571429
500,10,0.0023212432861328125,0.027831554412841797,0.08340329295663645,0.008340329295663645
500,15,0.0023212432861328125,0.04433321952819824,0.052359005523079157,0.003490600368205277
500,20,0.0023212432861328125,0.0613856315612793,0.0378141142657397,0.001890705713286985
750,1,0.02125859260559082,0.03791928291320801,0.5606274953629476,0.5606274953629476
750,2,0.02125859260559082,0.0347445011138916,0.6118548813208078,0.3059274406604039
750,4,0.02125859260559082,0.02983236312866211,0.7126016974889312,0.1781504243722328
750,8,0.02125859260559082,0.030934572219848633,0.6872114621307294,0.08590143276634117
750,10,0.02125859260559082,0.02761220932006836,0.7698982851814116,0.07698982851814115
750,15,0.02125859260559082,0.0428624153137207,0.49597281091123496,0.033064854060749
750,20,0.02125859260559082,0.06852555274963379,0.3102286921093742,0.015511434605468711
1000,1,0.005753755569458008,1e-10,57537555.69458008,57537555.69458008
1000,2,0.005753755569458008,0.006536960601806641,0.8801881975344664,0.4400940987672332
1000,4,0.005753755569458008,0.013616561889648438,0.4225556800672363,0.10563892001680908
1000,8,0.005753755569458008,0.025456905364990234,0.2260194429355461,0.028252430366943262
1000,10,0.005753755569458008,0.030831336975097656,0.1866203718024065,0.01866203718024065
1000,15,0.005753755569458008,0.040441036224365234,0.14227517656907712,0.009485011771271808
1000,20,0.005753755569458008,0.05011868476867676,0.1148026049768568,0.00574013024884284
2000,1,1e-10,1e-10,1.0,1.0
2000,2,1e-10,0.02626180648803711,3.8078111665910125e-09,1.9039055832955062e-09
2000,4,1e-10,0.011810541152954102,8.46701253608414e-09,2.116753134021035e-09
2000,8,1e-10,0.047831058502197266,2.0906917624540173e-09,2.6133647030675217e-10
2000,10,1e-10,0.11156034469604492,8.963758607277344e-10,8.963758607277344e-11
2000,15,1e-10,0.057837486267089844,1.7289824723399345e-09,1.1526549815599563e-10
2000,20,1e-10,0.07096385955810547,1.4091679993549341e-09,7.04583999677467e-11
5000,1,0.0039255619049072266,1e-10,39255619.049072266,39255619.049072266
5000,2,0.0039255619049072266,0.015639543533325195,0.25100233242373887,0.12550116621186944
5000,4,0.0039255619049072266,0.013132572174072266,0.2989179768345376,0.0747294942086344
5000,8,0.0039255619049072266,0.04041433334350586,0.09713291251253614,0.012141614064067018
5000,10,0.0039255619049072266,0.028349637985229492,0.13846956024456086,0.013846956024456087
5000,15,0.0039255619049072266,0.07534384727478027,0.052101957185576635,0.0034734638123717757
5000,20,0.0039255619049072266,0.14670062065124512,0.026758999978872336,0.0013379499989436168
